date,district,grade,highest_price_rs_kg,average_price_rs_kg
19.01.2016,National,Gorosu,1200.0,863.5
19.01.2016,National,M-5,1500.0,1263.33
19.01.2016,Galle,H-1,1460.0,1455.0
19.01.2016,Galle,C-4,1550.0,1550.0
19.01.2016,Kalutara,C-5 Sp,1550.0,1520.0
19.01.2016,Kalutara,H-2,870.0,860.0
19.01.2016,Badulla,C-5,1500.0,1500.0
19.01.2016,Kalutara,H-1,950.0,920.0
19.01.2016,Ratnapura,H-1,1350.0,1316.0
19.01.2016,Kalutara,M-4,1100.0,1030.0
19.01.2016,Kalutara,C-5,1400.0,1365.0
19.01.2016,Badulla,Heen,1300.0,1075.0
19.01.2016,Kalutara,Alba,2000.0,2000.0
19.01.2016,Ratnapura,C-5,1500.0,1433.0
19.01.2016,Gampaha,Gorosu,900.0,900.0
19.01.2016,Ratnapura,Alba,2100.0,2033.0
19.01.2016,Badulla,Gorosu,1200.0,837.0
19.01.2016,Kalutara,C-4,1300.0,1260.0
19.01.2016,Kurunegala,Gorosu,800.0,750.0
19.01.2016,Galle,Alba,2000.0,1975.0
19.01.2016,Kurunegala,Heen,1200.0,1133.0
19.01.2016,Kalutara,M-5,1210.0,1140.0
19.01.2016,Badulla,C-4,1450.0,1450.0
19.01.2016,Galle,C-5 Sp,1680.0,1670.0
19.01.2016,Ratnapura,M-5,1200.0,1150.0
19.01.2016,Ratnapura,H-2,1300.0,1266.0
19.01.2016,Ratnapura,C-4,1450.0,1383.0
19.01.2016,Ratnapura,M-4,1200.0,1150.0
19.01.2016,Ratnapura,C-5 Sp,1600.0,1533.0
19.01.2016,Galle,C-5,1650.0,1645.0
19.01.2016,Gampaha,C-4,1100.0,1050.0
26.01.2016,Matara,C-4,1550.0,1550.0
26.01.2016,Matara,H-1,1480.0,1470.0
26.01.2016,Galle,H-1,1480.0,1460.0
26.01.2016,Galle,H-2,1450.0,1440.0
26.01.2016,Matara,H-2,1450.0,1440.0
26.01.2016,Matara,C-5,1650.0,1600.0
26.01.2016,Galle,C-4,1540.0,1500.0
26.01.2016,Matara,Alba,2100.0,2100.0
26.01.2016,Matara,M-5,1520.0,1510.0
26.01.2016,Matara,M-4,1500.0,1490.0
26.01.2016,Galle,C-5,1600.0,1580.0
26.01.2016,Matara,H-Faq,1350.0,1317.0
26.01.2016,Matara,C-5 Sp,1800.0,1717.0
26.01.2016,Hambantota,C-5,1600.0,1580.0
26.01.2016,Kalutara,M-4,1100.0,1100.0
26.01.2016,Hambantota,H-1,1450.0,1450.0
26.01.2016,Gampaha,Gorosu,1000.0,900.0
26.01.2016,National,H-Faq,1350.0,1317.0
26.01.2016,National,H-2,1450.0,1301.33
26.01.2016,National,H-1,1480.0,1352.17
26.01.2016,National,M-4,1500.0,1246.67
26.01.2016,Kalutara,H-1,1000.0,1000.0
26.01.2016,National,C-4,1600.0,1424.13
26.01.2016,National,C-5,1800.0,1553.29
26.01.2016,National,C-5 Sp,1850.0,1671.17
26.01.2016,National,Alba,2100.0,2046.25
26.01.2016,Kurunegala,Gorosu,800.0,710.0
26.01.2016,Kalutara,H-2,950.0,920.0
26.01.2016,Monaragala,Gorosu,950.0,917.0
26.01.2016,National,Gorosu,1200.0,834.75
26.01.2016,Colombo,C-5,1800.0,1800.0
